,Name,Price,Location,Image URL,Total time,Start Time,End Time,Start Time 2,End Time 2,Rarity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Common Butterfly,90,Above Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/4/43/Common_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204145,15, 1 Jan 2018 4:00 GMT, 1 Jan 2018 19:00 GMT,,,1,0,0,1,1,1,1,0,0,1,0,0,0
,Yellow Butterfly,90,Above Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/Yellow_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204243,15, 1 Jan 2018 4:00 GMT, 1 Jan 2018 19:00 GMT,,,1,0,0,1,1,1,1,0,0,1,0,0,0
,Tiger Butterfly,160,Above red or pink Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/Tiger_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204238,15, 1 Jan 2018 4:00 GMT, 1 Jan 2018 19:00 GMT,,,3,0,0,3,3,3,3,3,3,3,0,0,0
,Peacock Butterfly,220,"Above blue, purple or black Flowers",https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/Peacock_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204222,15, 1 Jan 2018 4:00 GMT, 1 Jan 2018 19:00 GMT,,,3,0,0,3,3,3,3,3,3,3,0,0,0
,Monarch Butterfly,140,Above Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/MonarchButterflyNL.png/revision/latest?cb=20130727112226,13, 1 Jan 2018 4:00 GMT, 1 Jan 2018 17:00 GMT,,,2,0,0,0,0,0,0,0,0,2,2,2,0
,Emperor Butterfly,2500,Above Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Emperor_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204153,13, 1 Jan 2018 0:00 GMT, 1 Jan 2018 8:00 GMT, 1 Jan 2018 19:00 GMT, 1 Jan 2018 23:59 GMT,4,0,0,0,0,0,4,4,4,4,0,0,0
,Agrias Butterfly,3000,Above Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/Agrias_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20151013220555,9, 1 Jan 2018 8:00 GMT, 1 Jan 2018 17:00 GMT,,,4,0,0,0,0,0,4,4,4,4,0,0,0
,Raja Brooke Butterfly,2500,River or Pond,https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/RajaBrookeButterfly.png/revision/latest?cb=20130615105951,9, 1 Jan 2018 8:00 GMT, 1 Jan 2018 17:00 GMT,,,4,0,0,0,0,4,4,4,4,4,0,0,0
,Birdwing Butterfly,4000,Above Flowers,https://vignette.wikia.nocookie.net/animalcrossing/images/3/39/Birdwing_butterfly_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204142,8, 1 Jan 2018 8:00 GMT, 1 Jan 2018 16:00 GMT,,,3,0,0,0,0,0,3,3,3,3,0,0,0
,Moth,60,Outdoor Lights,https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/Moth_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204218,9, 1 Jan 2018 0:00 GMT, 1 Jan 2018 4:00 GMT, 1 Jan 2018 19:00 GMT, 1 Jan 2018 23:59 GMT,1,0,0,0,0,1,1,1,1,1,0,0,0
,Oak Silk Moth,1200,Tree Trunk,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/Oak_silk_moth_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818204219,9, 1 Jan 2018 0:00 GMT, 1 Jan 2018 4:00 GMT, 1 Jan 2018 19:00 GMT, 1 Jan 2018 23:59 GMT,4,0,0,0,0,0,4,4,4,4,0,0,0
