,Name,Price,Shadow,Movement,Total time,Start Time,End Time,Peak time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
,Seaweed,200,Big,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,9a-4p,1,1,1,1,1,2,1,0,0,0,1,1,,
,Sea Grapes,600,Small,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,4a-9p,0,0,0,0,0,2,2,1,2,0,0,0,,"KEY:

x  -  under a month means the creature is available.
xx  -  under a month means the creature is more common.
*  -  next to a time means the creature is more common.
/  -  creature can be found during the last half of the month."
,Sea Urchin,800,Small,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,0,0,0,0,0,1,1,1,2,0,0,0,,
,Acorn Barnacle,200,Tiny,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,2,2,2,2,2,2,2,2,2,2,2,2,,
,Oyster,400,Small,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,9a-4p,2,2,0,0,0,0,0,0,2,2,1,1,,
,Turban Shell,300,Small,moves in straight line,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,9p-4a,2,2,2,2,2,0,0,1,2,2,2,2,,
,Abalone,400,Medium,moves in straight line,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,9p-4a,2,2,2,2,1,1,1,1,1,2,2,2,,
,Ear Shell,300,Small,moves in straight line,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,9p-4a,2,2,2,2,1,1,1,1,1,2,2,2,,
,Clam,300,Small,runs away from you,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,9a-4p,1,1,2,2,0,0,0,0,2,2,2,2,,0 - not available
,Pearl Oyster,1600,Small,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,4,4,4,4,4,4,4,4,4,4,4,4,,1 - common
,Scallop,1000,Medium,runs away from you,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,2,3,3,3,3,3,3,3,3,3,2,2,,2 - fairly common
,Sea Anemone,100,Medium,none,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,2,2,2,2,2,2,2,2,2,2,2,2,,3 - uncommon
,Sea Star,100,Small,moves in straight line,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,2,2,2,2,2,2,2,2,2,2,2,2,,4 - scarce
,Sea Cucumber,150,Medium,moves in straight line,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,1,1,1,2,0,0,0,0,0,0,2,2,,5 - rare
,Sea Slug,200,Small,moves in straight line,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,2,2,2,2,2,2,2,2,2,2,2,2,,
,Flatworm,200,Small,moves in straight line,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,0,0,0,0,0,0,0,2,2,0,0,0,,
,Mantis Shrimp,1250,Small,runs away from you,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,3,3,3,3,3,3,3,3,3,3,3,3,,
,Sweet Shrimp,650,Small,runs away from you,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,9p-4a,3,3,0,0,0,0,0,0,3,2,2,2,,
,Tiger Prawn,1600,Small,moves in straight line,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,0,0,0,0,0,2,2,2,2,0,0,0,,
,Spiny Lobster,3000,Big,runs away from you,7, 1 Jan 2018 21:00 GMT, 2 Jan 2018 4:00 GMT,,0,0,0,0,0,0,0,0,5,5,5,5,,
,Lobster,2500,Big,moves in straight line,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Snow Crab,4000,Big,moves in straight line,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,4,4,4,4,0,0,0,0,0,0,4,4,,
