,Name,Price,Shadow,Location,Total time,Start Time,End Time,Peak time,Island Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
,Bitterling,900,Shortest,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,4a-9p,,2,2,0,0,0,0,0,0,0,0,2,2,,
,Pale Chub,200,Shortest,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,3,3,3,3,3,3,3,3,3,3,3,3,,"KEY:

x  -  under a month means the creature is available.
xx  -  under a month means the creature is more common.
*  -  next to a time means the creature is more common.
/  -  creature can be found during the last half of the month."
,Crucian Carp,120,Short,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,9a-4p,,2,2,2,2,2,2,2,2,2,2,2,2,,
,Dace,200,Medium,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,1,1,1,2,2,2,2,2,2,2,1,1,,
,Barbel Steed,200,Medium,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,2,2,1,2,2,2,2,2,2,1,1,2,,
,Carp,300,Long,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,4a-9p,,2,2,2,1,1,1,1,2,2,1,1,2,,
,Koi,4000,Long,River,17, 1 Jan 2018 16:00 GMT, 2 Jan 2018 9:00 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Goldfish,1300,Shortest,River,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Pop-eyed Goldfish,1300,Shortest,River,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,4,4,4,4,4,4,4,4,4,4,4,4,,
,Killifish,300,Shortest,Small Pond,24, 1 Jan 2018 00:00 GMT, 1 Jan 2018 23:59 GMT,,,0,0,0,3,3,3,3,3,0,0,0,0,,
