,Name,Price,Shadow,Location,Image URL,Total time,Start Time,End Time,Start Time 2,End Time 2,Rarity,Island Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Bitterling,900,Shortest,River,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/Bitterling_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150820001849,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,2,,2,2,0,0,0,0,0,0,0,0,2,2
,Pale Chub,200,Shortest,River,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/PaleChubNL.png/revision/latest?cb=20130724222225,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,3,,3,3,3,3,3,3,3,3,3,3,3,3
,Crucian Carp,120,Short,River,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Crucian_carp_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200530,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,2,,2,2,2,2,2,2,2,2,2,2,2,2
,Dace,200,Medium,River,https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/Dace.png/revision/latest?cb=20130616204231,17, 1 Jan 2018 0:00 GMT, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT, 1 Jan 2018 23:59 GMT,2,,1,1,1,2,2,2,2,2,2,2,1,1
,Barbel Steed,200,Medium,River,https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/Barbel_steed_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200521,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,2,,2,2,1,2,2,2,2,2,2,1,1,2
,Carp,300,Long,River,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Carp_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200524,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,2,,2,2,2,1,1,1,1,2,2,1,1,2
,Koi,4000,Long,River,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/Koi_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200541,17, 1 Jan 2018 0:00 GMT, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT, 1 Jan 2018 23:59 GMT,4,,4,4,4,4,4,4,4,4,4,4,4,4
,Goldfish,1300,Shortest,River,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f8/GoldfishNL.png/revision/latest?cb=20130614221224,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,4,,4,4,4,4,4,4,4,4,4,4,4,4
,Pop-eyed Goldfish,1300,Shortest,River,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/PopeyedGoldfish.png/revision/latest?cb=20130614221442,7, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT,,,4,,4,4,4,4,4,4,4,4,4,4,4,4
,Killifish,300,Shortest,Small Pond,https://vignette.wikia.nocookie.net/animalcrossing/images/2/20/Killifish_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200540,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,3,,0,0,0,3,3,3,3,3,0,0,0,0
,Crawfish,200,Short,Small Pond,https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/Crawfish_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200529,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,1,,0,0,0,1,1,1,1,1,1,0,0,0
,Soft-shelled Turtle,3750,Medium,River,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Soft-shelledTurtleNL.png/revision/latest?cb=20130806151912,17, 1 Jan 2018 0:00 GMT, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT, 1 Jan 2018 23:59 GMT,4,,0,0,0,0,0,0,0,4,4,0,0,0
,Tadpole,100,Shortest,Small Pond,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Tadpole_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200559,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,3,,0,0,3,3,3,3,3,0,0,0,0,0
,Frog,120,Short,Small Pond,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Frog.png/revision/latest?cb=20130622232351,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,1,,0,0,0,0,1,1,1,1,0,0,0,0
,Freshwater Goby,300,Short,River,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/Freshwater_goby_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150819192201,17, 1 Jan 2018 0:00 GMT, 1 Jan 2018 9:00 GMT, 1 Jan 2018 16:00 GMT, 1 Jan 2018 23:59 GMT,4,,4,4,4,3,3,3,3,3,3,4,4,4
,Loach,300,Short,River,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/Loach_encyclopedia_%28New_Leaf%29.jpg/revision/latest?cb=20150818200542,24, 1 Jan 2018 0:00 GMT, 1 Jan 2018 23:59 GMT,,,1,,0,0,1,1,1,0,0,0,0,0,0,0
